,A_atomic_hfomo,A_atomic_hpomo,A_atomic_lfumo,A_atomic_lpumo,A_atomic_ea,A_atomic_ip,A_atomic_ea_by_half_charged_homo,A_atomic_ip_by_half_charged_homo,A_atomic_r_s_neg_1,A_atomic_r_val_neg_1,A_atomic_r_s_neg_05,A_atomic_r_s,A_atomic_r_val,A_atomic_r_s_05,A_atomic_r_val_05,A_atomic_r_s_1,A_atomic_r_d_1,A_atomic_r_val_1,A_X,A_atomic_ie_1,A_atomic_ie_2,A_atomic_ndval,A_atomic_nfunf,A_atomic_nfval,A_atomic_nunf,A_atomic_nval,A_atomic_phi,A_atomic_pol,B_atomic_hfomo,B_atomic_hpomo,B_atomic_lfumo,B_atomic_lpumo,B_atomic_ea,B_atomic_ip,B_atomic_ea_by_half_charged_homo,B_atomic_ip_by_half_charged_homo,B_atomic_r_s_neg_1,B_atomic_r_p_neg_1,B_atomic_r_val_neg_1,B_atomic_r_s_neg_05,B_atomic_r_d_neg_05,B_atomic_r_val_neg_05,B_atomic_r_s,B_atomic_r_d,B_atomic_r_val,B_atomic_r_s_05,B_atomic_r_d_05,B_atomic_r_val_05,B_atomic_r_s_1,B_atomic_r_d_1,B_atomic_r_val_1,B_X,B_atomic_ie_1,B_atomic_ie_2,B_atomic_ndunf,B_atomic_ndval,B_atomic_npunf,B_atomic_npval,B_atomic_nunf,B_atomic_nval,B_atomic_phi,B_atomic_pol,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,compound possible,max ionic char,avg ionic char
0,-3.5049799711232,-1.7897699852544575,-1.7897699852544575,-1.7897699852544575,-7.811453735643074,-3.641577869953833,2.026719983302276,6.161479949236849,2.14415,1.5047500000000005,2.06635,1.96135,0.32505,1.87085,0.32435,1.84425,0.0,1.84425,1.17,5.6437,11.07,0.0,8.0,6.0,8.0,8.0,3.2,28.8,-4.787509960556702,-4.787509960556702,-4.710739961189194,-4.787509960556702,-3.386652872093844,7.192547130741292,-0.7138799941184913,7.198049940696766,1.63675,0.43015,0.45805,1.49385,0.44305,0.44305,1.4243500000000002,0.44005,0.44005,1.41305,0.44165,1.41305,1.38295,0.44335,0.44335,1.66,6.76651,16.4857,5.0,5.0,0.0,0.0,6.0,6.0,4.65,11.6,8.0,62.0,54.0,22.0,16.8,8.0,23.0,87.0,64.0,66.6,24.48,87.0,15.9994,150.36,134.3606,50.07086,40.885752000000004,15.9994,54.8,2180.0,2125.2,737.88,819.6959999999999,54.8,3.0,16.0,13.0,11.4,5.5200000000000005,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,198.0,132.0,107.0,49.2,66.0,1.17,3.44,2.27,2.63,0.9719999999999999,3.44,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,6.0,6.0,1.2,1.92,0.0,6.0,8.0,2.0,6.4,0.6400000000000002,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,8.0,8.0,1.6,2.56,0.0,2.0,8.0,6.0,4.0,2.4,2.0,9.105,33.23,24.124999999999996,14.347,7.553199999999999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,86.2,89.04,12.0,1.8,2.4,1.0,1.2,True,0.7242401773760752,0.15489205514573334
1,-4.386689963858975,-2.259629981383379,-2.259629981383379,-2.259629981383379,1.578749956992198,6.198956138927367,1.686129986108326,7.085359941625193,1.84895,0.64805,1.75605,1.64915,0.59045,1.54235,0.57315,0.0,0.5720500000000001,0.93655,1.36,6.56149,12.79977,1.0,0.0,0.0,9.0,3.0,3.25,17.8,-3.2662999730896343,-3.266309973089552,-3.19968997363842,-3.266309973089552,-0.8864388526950845,7.496390708240698,-0.9858299918779518,7.265179940143695,1.44575,0.35905,0.35905,1.4023500000000002,0.36045,0.36045,1.38935,0.36365,0.36355,1.3252500000000005,0.36455,0.36465,1.2294500000000002,0.36265,0.36265,1.88,7.88101,17.084,3.0,7.0,0.0,0.0,3.0,9.0,5.1,7.5,8.0,27.0,19.0,14.4,7.6800000000000015,8.0,11.0,87.0,76.0,66.0,25.2,87.0,15.9994,58.933195,42.933794999999996,30.377461399999998,17.25367368,15.9994,54.8,1814.0,1759.2,749.28,833.376,54.8,3.0,16.0,13.0,12.0,4.8,16.0,2.0,4.0,2.0,2.8,0.96,2.0,66.0,170.0,104.0,98.8,39.36,66.0,1.36,3.44,2.08,2.712,0.8735999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,7.0,7.0,1.6,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0,6.0,1.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,2.4,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,3.6,2.16,2.0,9.105,22.235,13.129999999999999,11.959,4.1104,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.30969551,0.49551027599999997,0.0,12.0,194.0,182.0,84.8,87.35999999999999,12.0,2.0,2.4,1.6,0.0,True,0.6609473927455578,0.1366218058697441
2,-2.019969983357888,-2.019969983357888,-0.4701099961268615,-0.4701099961268615,0.8464991929314734,4.172045865545114,2.6839699778873296,6.535999946151256,1.94775,1.3759500000000002,1.94245,1.89495,0.30575,1.82175,1.82625,1.82645,1.09915,1.82645,1.2,6.1498,12.09,1.0,7.0,7.0,16.0,10.0,3.2,23.5,-4.787509960556702,-4.787509960556702,-4.710739961189194,-4.787509960556702,-3.386652872093844,7.192547130741292,-0.7138799941184913,7.198049940696766,1.63675,0.43015,0.45805,1.49385,0.44305,0.44305,1.4243500000000002,0.44005,0.44005,1.41305,0.44165,1.41305,1.38295,0.44335,0.44335,1.66,6.76651,16.4857,5.0,5.0,0.0,0.0,6.0,6.0,4.65,11.6,8.0,64.0,56.0,22.4,17.28,8.0,27.0,87.0,60.0,67.4,23.52,87.0,15.9994,157.25,141.2506,51.44886,42.539351999999994,15.9994,54.8,2180.0,2125.2,786.08,877.5360000000001,54.8,3.0,16.0,13.0,11.4,5.5200000000000005,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,196.0,130.0,106.6,48.72,66.0,1.2,3.44,2.24,2.636,0.9648,3.44,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,5.0,5.0,1.2,1.52,0.0,0.0,7.0,7.0,1.4,2.2399999999999998,0.0,6.0,10.0,4.0,6.8,1.2799999999999998,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,2.8,3.3599999999999994,0.0,0.0,7.0,7.0,1.4,2.2399999999999998,0.0,2.0,16.0,14.0,5.6,4.32,2.0,9.105,32.05,22.944999999999997,14.110999999999999,7.175599999999998,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,91.8,95.75999999999999,12.0,1.8,2.4,1.2,1.4,True,0.7147530549426948,0.15348424583531184
3,-4.194639965441234,-1.7865499852809863,-1.7865499852809863,-1.7865499852809863,1.4214937782972672,5.508482824605309,1.4791099878139202,5.399529955514396,1.97365,1.1042500000000002,1.88415,1.7914500000000002,0.96545,1.7049500000000002,0.92735,1.6318500000000002,0.9004500000000001,1.6318500000000002,1.22,6.2173,12.224,1.0,0.0,0.0,9.0,3.0,3.2,22.7,-4.787509960556702,-4.787509960556702,-4.710739961189194,-4.787509960556702,-3.386652872093844,7.192547130741292,-0.7138799941184913,7.198049940696766,1.63675,0.43015,0.45805,1.49385,0.44305,0.44305,1.4243500000000002,0.44005,0.44005,1.41305,0.44165,1.41305,1.38295,0.44335,0.44335,1.66,6.76651,16.4857,5.0,5.0,0.0,0.0,6.0,6.0,4.65,11.6,8.0,39.0,31.0,17.4,11.28,8.0,12.0,87.0,75.0,64.4,27.119999999999997,87.0,15.9994,88.90585,72.90645,37.78003,26.136756,15.9994,54.8,2180.0,2125.2,828.68,928.6560000000002,54.8,3.0,16.0,13.0,11.4,5.5200000000000005,16.0,2.0,5.0,3.0,3.0,1.2,2.0,66.0,190.0,124.0,105.4,47.28,66.0,1.22,3.44,2.2199999999999998,2.6399999999999997,0.9600000000000002,3.44,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,5.0,5.0,1.2,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,5.4,0.9599999999999997,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,2.8,3.3599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.2,2.6399999999999997,2.0,9.105,32.365,23.26,14.174000000000001,7.276400000000001,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,91.8,95.75999999999999,12.0,1.8,2.4,1.2,0.0,True,0.7083205926780534,0.1525412401804506
4,-3.591209970412768,-2.347539980659106,-2.347539980659106,-2.347539980659106,0.7574954937130738,5.540775954341044,0.79851999342116,5.6713799532746805,2.21125,1.3138500000000002,2.12385,2.03245,1.19775,1.94515,1.15925,0.0,1.1316500000000005,0.65825,1.1,5.5769,11.059,1.0,0.0,0.0,9.0,3.0,3.17,31.1,-3.822639968506065,-3.8226599685059,-3.763499968993308,-3.8226599685059,-1.0133630316558335,7.161906671003653,-1.3957399885007886,6.599079945631553,1.4903500000000005,0.38335,0.38335,1.4145500000000002,0.38375,0.38375,1.39735,0.38725,0.38735,1.37095,0.39065,0.39065,1.2774500000000002,0.38895,0.38895,1.83,7.9024,16.1877,4.0,6.0,0.0,0.0,4.0,8.0,4.93,8.4,8.0,57.0,49.0,21.4,16.080000000000002,8.0,13.0,87.0,74.0,65.8,25.44,87.0,15.9994,138.90547,122.90607000000001,48.549734,39.060400800000004,15.9994,54.8,1811.0,1756.2,633.6800000000001,694.6560000000001,54.8,3.0,16.0,13.0,11.8,5.04,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,207.0,141.0,107.4,49.68,66.0,1.1,3.44,2.34,2.65,0.9480000000000001,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,6.0,6.0,1.4,1.8399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.8,1.12,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,2.6,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,3.8,2.16,2.0,9.105,36.8975,27.7925,14.988499999999998,8.7636,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.42213256,0.675412096,0.0,12.0,229.0,217.0,91.8,95.75999999999999,12.0,2.0,2.4,1.4,0.0,True,0.7456133690005962,0.15169353857603118
5,-3.5049799711232,-1.7897699852544575,-1.7897699852544575,-1.7897699852544575,-7.811453735643074,-3.641577869953833,2.026719983302276,6.161479949236849,2.14415,1.5047500000000005,2.06635,1.96135,0.32505,1.87085,0.32435,1.84425,0.0,1.84425,1.17,5.6437,11.07,0.0,8.0,6.0,8.0,8.0,3.2,28.8,-3.2662999730896343,-3.266309973089552,-3.19968997363842,-3.266309973089552,-0.8864388526950845,7.496390708240698,-0.9858299918779518,7.265179940143695,1.44575,0.35905,0.35905,1.4023500000000002,0.36045,0.36045,1.38935,0.36365,0.36355,1.3252500000000005,0.36455,0.36465,1.2294500000000002,0.36265,0.36265,1.88,7.88101,17.084,3.0,7.0,0.0,0.0,3.0,9.0,5.1,7.5,8.0,62.0,54.0,22.6,17.52,8.0,23.0,87.0,64.0,68.4,22.32,87.0,15.9994,150.36,134.3606,51.458279000000005,42.550654800000004,15.9994,54.8,1768.0,1713.2,655.48,720.816,54.8,3.0,16.0,13.0,12.0,4.8,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,198.0,132.0,104.4,46.08,66.0,1.17,3.44,2.27,2.6740000000000004,0.9192,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,7.0,7.0,1.4,2.2399999999999998,0.0,0.0,6.0,6.0,1.2,1.92,0.0,6.0,9.0,3.0,7.0,1.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,3.0,3.0,0.6,0.96,0.0,0.0,8.0,8.0,1.6,2.56,0.0,2.0,8.0,6.0,3.4,1.8399999999999999,2.0,9.105,33.23,24.124999999999996,14.157999999999998,7.628799999999998,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.30969424,0.49551078400000004,0.0,12.0,194.0,182.0,79.2,80.64000000000001,12.0,2.0,2.4,1.4,1.2,True,0.7242401773760752,0.14633859785859418
6,-4.194639965441234,-1.7865499852809863,-1.7865499852809863,-1.7865499852809863,1.4214937782972672,5.508482824605309,1.4791099878139202,5.399529955514396,1.97365,1.1042500000000002,1.88415,1.7914500000000002,0.96545,1.7049500000000002,0.92735,1.6318500000000002,0.9004500000000001,1.6318500000000002,1.22,6.2173,12.224,1.0,0.0,0.0,9.0,3.0,3.2,22.7,-3.822639968506065,-3.8226599685059,-3.763499968993308,-3.8226599685059,-1.0133630316558335,7.161906671003653,-1.3957399885007886,6.599079945631553,1.4903500000000005,0.38335,0.38335,1.4145500000000002,0.38375,0.38375,1.39735,0.38725,0.38735,1.37095,0.39065,0.39065,1.2774500000000002,0.38895,0.38895,1.83,7.9024,16.1877,4.0,6.0,0.0,0.0,4.0,8.0,4.93,8.4,8.0,39.0,31.0,17.8,11.76,8.0,12.0,87.0,75.0,65.6,25.68,87.0,15.9994,88.90585,72.90645,38.54981,27.060492,15.9994,54.8,1811.0,1756.2,754.88,840.0959999999999,54.8,3.0,16.0,13.0,11.8,5.04,16.0,2.0,5.0,3.0,3.0,1.2,2.0,66.0,190.0,124.0,104.0,45.6,66.0,1.22,3.44,2.2199999999999998,2.6740000000000004,0.9192,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,6.0,6.0,1.4,1.8399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.8,1.12,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,2.6,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,3.8,2.16,2.0,9.105,32.365,23.26,14.081999999999999,7.313199999999999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.42213256,0.675412096,0.0,12.0,229.0,217.0,91.8,95.75999999999999,12.0,2.0,2.4,1.4,0.0,True,0.7083205926780534,0.1457823019724547
7,-3.591209970412768,-2.347539980659106,-2.347539980659106,-2.347539980659106,0.7574954937130738,5.540775954341044,0.79851999342116,5.6713799532746805,2.21125,1.3138500000000002,2.12385,2.03245,1.19775,1.94515,1.15925,0.0,1.1316500000000005,0.65825,1.1,5.5769,11.059,1.0,0.0,0.0,9.0,3.0,3.17,31.1,-4.787509960556702,-4.787509960556702,-4.710739961189194,-4.787509960556702,-3.386652872093844,7.192547130741292,-0.7138799941184913,7.198049940696766,1.63675,0.43015,0.45805,1.49385,0.44305,0.44305,1.4243500000000002,0.44005,0.44005,1.41305,0.44165,1.41305,1.38295,0.44335,0.44335,1.66,6.76651,16.4857,5.0,5.0,0.0,0.0,6.0,6.0,4.65,11.6,8.0,57.0,49.0,21.0,15.6,8.0,13.0,87.0,74.0,64.6,26.880000000000003,87.0,15.9994,138.90547,122.90607000000001,47.779954,38.1366648,15.9994,54.8,2180.0,2125.2,707.48,783.216,54.8,3.0,16.0,13.0,11.4,5.5200000000000005,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,207.0,141.0,108.8,51.35999999999999,66.0,1.1,3.44,2.34,2.616,0.9888,3.44,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,5.0,5.0,1.2,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,5.4,0.9599999999999997,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,2.8,3.3599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.2,2.6399999999999997,2.0,9.105,36.8975,27.7925,15.0805,8.7268,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,91.8,95.75999999999999,12.0,1.8,2.4,1.2,0.0,True,0.7456133690005962,0.15814269714087575
8,-3.5528299707289728,-1.8572899846981743,-1.8572899846981743,-1.8572899846981743,-2.6647847780856324,2.129404682427247,0.600049995056313,6.411329947178387,2.09365,0.34455,2.11915,1.99985,0.36415,1.90725,0.36675,1.88875,0.0,1.88875,1.13,5.473,10.55,0.0,11.0,3.0,11.0,5.0,3.19,28.2,-4.787509960556702,-4.787509960556702,-4.710739961189194,-4.787509960556702,-3.386652872093844,7.192547130741292,-0.7138799941184913,7.198049940696766,1.63675,0.43015,0.45805,1.49385,0.44305,0.44305,1.4243500000000002,0.44005,0.44005,1.41305,0.44165,1.41305,1.38295,0.44335,0.44335,1.66,6.76651,16.4857,5.0,5.0,0.0,0.0,6.0,6.0,4.65,11.6,8.0,59.0,51.0,21.4,16.080000000000002,8.0,17.0,87.0,70.0,65.4,25.919999999999998,87.0,15.9994,140.90765,124.90825,48.18039,38.617188,15.9994,54.8,2180.0,2125.2,709.6800000000001,785.856,54.8,3.0,16.0,13.0,11.4,5.5200000000000005,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,203.0,137.0,108.0,50.4,66.0,1.13,3.44,2.31,2.622,0.9815999999999999,3.44,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,3.0,3.0,0.6,0.96,0.0,5.0,6.0,1.0,5.8,0.3200000000000001,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,11.0,11.0,2.2,3.5200000000000005,0.0,2.0,11.0,9.0,4.6,3.12,2.0,9.105,35.675,26.569999999999997,14.835999999999999,8.3356,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,91.8,95.75999999999999,12.0,1.8,2.4,1.0,0.6,True,0.7365851201998697,0.15675572567936027
9,-2.781479977083966,-2.781479977083966,-1.072319991165379,-1.072319991165379,2.903782976091173,6.083155549909696,1.8723199845743448,6.376199947467815,2.11275,1.31275,2.09185,2.02515,0.34785,1.9116500000000003,0.34915,1.92685,0.0,1.92685,1.14,5.525,10.72,0.0,10.0,4.0,10.0,6.0,3.19,31.4,-4.787509960556702,-4.787509960556702,-4.710739961189194,-4.787509960556702,-3.386652872093844,7.192547130741292,-0.7138799941184913,7.198049940696766,1.63675,0.43015,0.45805,1.49385,0.44305,0.44305,1.4243500000000002,0.44005,0.44005,1.41305,0.44165,1.41305,1.38295,0.44335,0.44335,1.66,6.76651,16.4857,5.0,5.0,0.0,0.0,6.0,6.0,4.65,11.6,8.0,60.0,52.0,21.6,16.32,8.0,19.0,87.0,68.0,65.8,25.44,87.0,15.9994,144.242,128.24259999999998,48.84725999999999,39.417432,15.9994,54.8,2180.0,2125.2,727.6800000000001,807.456,54.8,3.0,16.0,13.0,11.4,5.5200000000000005,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,201.0,135.0,107.6,49.92,66.0,1.14,3.44,2.3,2.624,0.9792,3.44,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,4.0,4.0,0.8,1.28,0.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,10.0,10.0,2.0,3.2,0.0,2.0,10.0,8.0,4.4,2.88,2.0,9.105,34.81,25.705000000000002,14.663,8.058800000000002,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,91.8,95.75999999999999,12.0,1.8,2.4,1.0,0.8,True,0.7335317021864758,0.15629130761289178
