,formula,A1,A1_ratio,nA1,A2,A2_ratio,nA2,B1,B1_ratio,B2,B2_ratio,X,X_ratio,Ra,Rb,Rx,nA
0,Sm1Cr0.8Co0.2O3,Sm,1,3,Sm,0,3,Cr,0.8,Co,0.19999999999999996,O,3,1.24,0.614,1.4,3
1,Sm1Cr0.8Fe0.2O3,Sm,1,3,Sm,0,3,Cr,0.8,Fe,0.19999999999999996,O,3,1.24,0.621,1.4,3
2,Sm1Nb0.2Cr0.8O3,Sm,1,3,Sm,0,3,Cr,0.8,Nb,0.19999999999999996,O,3,1.24,0.62,1.4,3
3,Sm1Cr0.8In0.2O3,Sm,1,3,Sm,0,3,Cr,0.8,In,0.19999999999999996,O,3,1.24,0.6519999999999999,1.4,3
4,Sm1Er0.2Cr0.8O3,Sm,1,3,Sm,0,3,Cr,0.8,Er,0.19999999999999996,O,3,1.24,0.6699999999999999,1.4,3
5,Sm1Cr0.8Sn0.2O3,Sm,1,3,Sm,0,3,Cr,0.8,Sn,0.19999999999999996,O,3,1.24,0.6299999999999999,1.4,3
6,Sm1Zr0.2Cr0.8O3,Sm,1,3,Sm,0,3,Cr,0.8,Zr,0.19999999999999996,O,3,1.24,0.6359999999999999,1.4,3
7,Sm1Be0.2Cr0.8O3,Sm,1,3,Sm,0,3,Cr,0.8,Be,0.19999999999999996,O,3,1.24,0.582,1.4,3
8,Sm1Cr0.8Ge0.2O3,Sm,1,3,Sm,0,3,Cr,0.8,Ge,0.19999999999999996,O,3,1.24,0.598,1.4,3
9,Sm1Hf0.2Cr0.8O3,Sm,1,3,Sm,0,3,Cr,0.8,Hf,0.19999999999999996,O,3,1.24,0.6339999999999999,1.4,3
10,Sm1Ti0.2Cr0.8O3,Sm,1,3,Sm,0,3,Cr,0.8,Ti,0.19999999999999996,O,3,1.24,0.613,1.4,3
11,Sm1Cr0.8Ga0.2O3,Sm,1,3,Sm,0,3,Cr,0.8,Ga,0.19999999999999996,O,3,1.24,0.616,1.4,3
12,Sm1Cr0.8Si0.2O3,Sm,1,3,Sm,0,3,Cr,0.8,Si,0.19999999999999996,O,3,1.24,0.572,1.4,3
13,Sm1Ta0.2Cr0.8O3,Sm,1,3,Sm,0,3,Cr,0.8,Ta,0.19999999999999996,O,3,1.24,0.62,1.4,3
14,Sm1Al0.2Cr0.8O3,Sm,1,3,Sm,0,3,Cr,0.8,Al,0.19999999999999996,O,3,1.24,0.599,1.4,3
15,Sm1Cr0.8Bi0.2O3,Sm,1,3,Sm,0,3,Cr,0.8,Bi,0.19999999999999996,O,3,1.24,0.698,1.4,3
16,Sm1Cr0.8B0.2O3,Sm,1,3,Sm,0,3,Cr,0.8,B,0.19999999999999996,O,3,1.24,0.546,1.4,3
17,Sm1Cr0.8Sb0.2O3,Sm,1,3,Sm,0,3,Cr,0.8,Sb,0.19999999999999996,O,3,1.24,0.612,1.4,3
18,Ce0.2Sm1Cr0.8O3,Sm,1,3,Sm,0,3,Cr,0.8,Ce,0.19999999999999996,O,3,1.24,0.6659999999999999,1.4,3
19,Sm1Cr0.2Co0.8O3,Sm,1,3,Sm,0,3,Co,0.8,Cr,0.19999999999999996,O,3,1.24,0.611,1.4,3
20,Sm1Fe0.2Co0.8O3,Sm,1,3,Sm,0,3,Co,0.8,Fe,0.19999999999999996,O,3,1.24,0.617,1.4,3
21,Sm1Nb0.2Co0.8O3,Sm,1,3,Sm,0,3,Co,0.8,Nb,0.19999999999999996,O,3,1.24,0.616,1.4,3
22,Sm1In0.2Co0.8O3,Sm,1,3,Sm,0,3,Co,0.8,In,0.19999999999999996,O,3,1.24,0.6479999999999999,1.4,3
23,Sm1Er0.2Co0.8O3,Sm,1,3,Sm,0,3,Co,0.8,Er,0.19999999999999996,O,3,1.24,0.6659999999999999,1.4,3
24,Sm1Co0.8Sn0.2O3,Sm,1,3,Sm,0,3,Co,0.8,Sn,0.19999999999999996,O,3,1.24,0.6259999999999999,1.4,3
25,Sm1Zr0.2Co0.8O3,Sm,1,3,Sm,0,3,Co,0.8,Zr,0.19999999999999996,O,3,1.24,0.6319999999999999,1.4,3
26,Sm1Be0.2Co0.8O3,Sm,1,3,Sm,0,3,Co,0.8,Be,0.19999999999999996,O,3,1.24,0.578,1.4,3
27,Sm1Co0.8Ge0.2O3,Sm,1,3,Sm,0,3,Co,0.8,Ge,0.19999999999999996,O,3,1.24,0.594,1.4,3
28,Sm1Hf0.2Co0.8O3,Sm,1,3,Sm,0,3,Co,0.8,Hf,0.19999999999999996,O,3,1.24,0.6299999999999999,1.4,3
29,Sm1Ti0.2Co0.8O3,Sm,1,3,Sm,0,3,Co,0.8,Ti,0.19999999999999996,O,3,1.24,0.609,1.4,3
30,Sm1Ga0.2Co0.8O3,Sm,1,3,Sm,0,3,Co,0.8,Ga,0.19999999999999996,O,3,1.24,0.612,1.4,3
31,Sm1Co0.8Si0.2O3,Sm,1,3,Sm,0,3,Co,0.8,Si,0.19999999999999996,O,3,1.24,0.568,1.4,3
32,Sm1Ta0.2Co0.8O3,Sm,1,3,Sm,0,3,Co,0.8,Ta,0.19999999999999996,O,3,1.24,0.616,1.4,3
33,Sm1Al0.2Co0.8O3,Sm,1,3,Sm,0,3,Co,0.8,Al,0.19999999999999996,O,3,1.24,0.595,1.4,3
34,Sm1Co0.8Bi0.2O3,Sm,1,3,Sm,0,3,Co,0.8,Bi,0.19999999999999996,O,3,1.24,0.694,1.4,3
35,Sm1Co0.8B0.2O3,Sm,1,3,Sm,0,3,Co,0.8,B,0.19999999999999996,O,3,1.24,0.542,1.4,3
36,Sm1Co0.8Sb0.2O3,Sm,1,3,Sm,0,3,Co,0.8,Sb,0.19999999999999996,O,3,1.24,0.608,1.4,3
37,Ce0.2Sm1Co0.8O3,Sm,1,3,Sm,0,3,Co,0.8,Ce,0.19999999999999996,O,3,1.24,0.6619999999999999,1.4,3
38,Sm1Cr0.2Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,Cr,0.19999999999999996,O,3,1.24,0.639,1.4,3
39,Sm1Fe0.8Co0.2O3,Sm,1,3,Sm,0,3,Fe,0.8,Co,0.19999999999999996,O,3,1.24,0.638,1.4,3
40,Sm1Nb0.2Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,Nb,0.19999999999999996,O,3,1.24,0.644,1.4,3
41,Sm1In0.2Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,In,0.19999999999999996,O,3,1.24,0.6759999999999999,1.4,3
42,Sm1Er0.2Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,Er,0.19999999999999996,O,3,1.24,0.694,1.4,3
43,Sm1Fe0.8Sn0.2O3,Sm,1,3,Sm,0,3,Fe,0.8,Sn,0.19999999999999996,O,3,1.24,0.6539999999999999,1.4,3
44,Sm1Zr0.2Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,Zr,0.19999999999999996,O,3,1.24,0.6599999999999999,1.4,3
45,Sm1Be0.2Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,Be,0.19999999999999996,O,3,1.24,0.606,1.4,3
46,Sm1Fe0.8Ge0.2O3,Sm,1,3,Sm,0,3,Fe,0.8,Ge,0.19999999999999996,O,3,1.24,0.622,1.4,3
47,Sm1Hf0.2Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,Hf,0.19999999999999996,O,3,1.24,0.6579999999999999,1.4,3
48,Sm1Ti0.2Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,Ti,0.19999999999999996,O,3,1.24,0.637,1.4,3
49,Sm1Ga0.2Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,Ga,0.19999999999999996,O,3,1.24,0.64,1.4,3
50,Sm1Fe0.8Si0.2O3,Sm,1,3,Sm,0,3,Fe,0.8,Si,0.19999999999999996,O,3,1.24,0.596,1.4,3
51,Sm1Ta0.2Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,Ta,0.19999999999999996,O,3,1.24,0.644,1.4,3
52,Sm1Al0.2Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,Al,0.19999999999999996,O,3,1.24,0.623,1.4,3
53,Sm1Fe0.8Bi0.2O3,Sm,1,3,Sm,0,3,Fe,0.8,Bi,0.19999999999999996,O,3,1.24,0.722,1.4,3
54,Sm1Fe0.8B0.2O3,Sm,1,3,Sm,0,3,Fe,0.8,B,0.19999999999999996,O,3,1.24,0.5700000000000001,1.4,3
55,Sm1Fe0.8Sb0.2O3,Sm,1,3,Sm,0,3,Fe,0.8,Sb,0.19999999999999996,O,3,1.24,0.636,1.4,3
56,Ce0.2Sm1Fe0.8O3,Sm,1,3,Sm,0,3,Fe,0.8,Ce,0.19999999999999996,O,3,1.24,0.69,1.4,3
57,Sm1Nb0.8Cr0.2O3,Sm,1,3,Sm,0,3,Nb,0.8,Cr,0.19999999999999996,O,3,1.24,0.635,1.4,3
58,Sm1Nb0.8Co0.2O3,Sm,1,3,Sm,0,3,Nb,0.8,Co,0.19999999999999996,O,3,1.24,0.634,1.4,3
59,Sm1Nb0.8Fe0.2O3,Sm,1,3,Sm,0,3,Nb,0.8,Fe,0.19999999999999996,O,3,1.24,0.641,1.4,3
60,Sm1Nb0.8In0.2O3,Sm,1,3,Sm,0,3,Nb,0.8,In,0.19999999999999996,O,3,1.24,0.6719999999999999,1.4,3
