,small_1
0,0.16677062623501038
1,0.16086793756484907
2,0.3771942054033295
3,0.5782364464044589
4,0.1507455957889562
5,0.11719218173027068
6,0.12383865780830439
7,0.1482826841115965
8,0.11234422671794553
9,0.076603654503824
10,0.10057061350345586
11,0.1667078245639826
12,0.4190790954828274
13,0.08869670805931207
14,0.8105005268743501
15,0.8681712632690117
16,0.9314075494475405
17,1.701940316508609
18,0.20290215931004063
19,0.32550765976354823
20,0.22694782842110417
21,0.10800989632093616
22,0.7225919299572621
23,0.1751753102159852
24,1.0076387725875975
25,0.5275759080067977
26,0.7179043244257861
27,0.6858043864545467
28,0.890560818295191
29,1.1789800563001553
30,0.5075872937591677
31,0.28857264662242743
32,0.10302933451458873
33,0.05155401898353573
34,1.0363487760322014
35,0.7215521019275486
36,0.6403069124633602
37,0.13166272846167182
38,0.8014868815801107
39,0.23978006423097775
40,1.9782861057071683
41,0.26154475542736044
42,0.05886636378097965
43,0.7548148922538767
44,0.519395755825041
45,0.8837700233898185
46,0.6194020564212797
47,0.10141152548980381
48,0.04543010696792704
49,0.39710037207031235
50,0.6424269386100789
51,0.25710291184806966
