,small_1
0,0.011431401920319662
1,0.10526230037212325
2,0.4536638293266304
3,0.42783999755382673
4,0.16026618514060953
5,0.06704690983295425
6,0.29626935656070696
7,0.6854801355838767
8,0.025735661625862605
9,0.20650457012653312
10,0.16632215303182551
11,0.13307446632385478
12,0.4280473070144657
13,0.01869787106514087
14,0.3905019938638703
15,0.6514811425719955
16,0.4281472135252997
17,0.15980333835919014
18,0.23229908917015418
19,0.363990823835584
20,0.7005807208924411
21,0.0810361986926833
22,0.6707512855976736
23,0.14609593113426156
24,0.6347626830146962
25,0.3365954714433059
26,1.0514801857605915
27,0.8737558297691086
28,0.8034100097224273
29,0.804764135255807
30,0.5872612737568037
31,0.3171060113952262
32,0.03351520183757106
33,0.050147141704254716
34,0.7424092929856649
35,0.10554635818556513
36,0.036179799359497
37,0.030769039306094204
38,0.674089272227043
39,0.3608956959305418
40,1.3218781488685631
41,0.2061178768558496
42,0.014987930672648364
43,0.8991643944597225
44,0.4284407728290547
45,0.5176327348194123
46,0.6562629787578569
47,0.035039452550892136
48,0.005425062507630418
49,0.8948721368255597
50,0.16065902559280532
51,0.6338673385562901
