,small_1
0,0.1601937997817997
1,0.09335337197780569
2,0.46176112377643674
3,0.08114549567699614
4,0.03172257659435285
5,0.18336263778209605
6,0.3438645216941836
7,0.33670153286457216
8,0.07615086460113174
9,0.15796017384529226
10,0.0758853724002837
11,0.22103793559074747
12,0.6047831881046295
13,0.03009853556156139
14,0.8073244002750395
15,0.9501002440963413
16,0.6072201183505088
17,0.295478993485764
18,0.15597379229134045
19,0.2567428387109958
20,0.6730771090893848
21,0.1341267023512116
22,0.7740571570843364
23,0.18570985778335425
24,0.6083606014059177
25,0.5009908253566124
26,0.8615753433838789
27,0.6711366962966556
28,0.8530420952841857
29,0.7877538107776569
30,0.6599208530338427
31,0.3009062166259373
32,0.10204835256859646
33,0.0693615949246229
34,0.5985379299418816
35,0.4428692832763512
36,0.4751962705070323
37,0.05183675781195074
38,0.719071938481087
39,0.3524807261286371
40,1.3890735739021336
41,0.5993585186882009
42,0.023746281641010114
43,0.5917734760856632
44,0.5828178043937671
45,0.9722236221275355
46,0.9006260149135585
47,0.0713096923809049
48,0.03154156860733037
49,0.7581319997253402
50,0.4284675563144682
51,0.4165585078182219
