,formula,A_Density,B_Density,O_Density,A_dipole Polarizability,B_dipole Polarizability,O_dipole Polarizability,A_covalent Radius,B_covalent Radius,O_covalent Radius,A_atomic Radius,B_atomic Radius,O_atomic Radius,A_FirstIonization,B_FirstIonization,O_FirstIonization,A_number of Valence Electrons,B_number of Valence Electrons,O_number of Valence Electrons,A_number,B_number,O_number,A_Period,B_Period,O_Period,A_Electronegativity,B_Electronegativity,O_Electronegativity,A_number of s+p Electrons,B_number of s+p Electrons,O_number of s+p Electrons,A_number of d Electrons,B_number of d Electrons,O_number of d Electrons,A_Mulliken EN,B_Mulliken EN,O_Mulliken EN
0,SmCrO3,7.52,7.15,0.00143,192.0,83.0,5.3,172,122,63,1.85,1.4,0.6,544.5,652.9,1313.9,3,6,6,62,24,8,6,4,2,1.17,1.66,3.44,2,1,6,0,5,0,3.1,3.72,7.54
1,ScCoO3,2.99,8.86,0.00143,97.0,55.0,5.3,148,111,63,1.6,1.35,0.6,633.1,760.4,1313.9,3,9,6,21,27,8,4,4,2,1.36,1.88,3.44,2,2,6,1,7,0,3.34,4.3,7.54
2,GdCrO3,7.9,7.15,0.00143,158.0,83.0,5.3,169,122,63,1.8,1.4,0.6,593.4,652.9,1313.9,3,6,6,64,24,8,6,4,2,1.2,1.66,3.44,2,1,6,1,5,0,3.1,3.72,7.54
3,YCrO3,4.47,7.15,0.00143,162.0,83.0,5.3,163,122,63,1.8,1.4,0.6,600.0,652.9,1313.9,3,6,6,39,24,8,5,4,2,1.22,1.66,3.44,2,1,6,1,5,0,3.19,3.72,7.54
4,LaFeO3,6.15,7.87,0.00143,215.0,62.0,5.3,180,116,63,1.95,1.4,0.6,538.1,762.5,1313.9,3,8,6,57,26,8,6,4,2,1.1,1.83,3.44,2,2,6,1,6,0,3.1,4.06,7.54
5,SmCoO3,7.52,8.86,0.00143,192.0,55.0,5.3,172,111,63,1.85,1.35,0.6,544.5,760.4,1313.9,3,9,6,62,27,8,6,4,2,1.17,1.88,3.44,2,2,6,0,7,0,3.1,4.3,7.54
6,YFeO3,4.47,7.87,0.00143,162.0,62.0,5.3,163,116,63,1.8,1.4,0.6,600.0,762.5,1313.9,3,8,6,39,26,8,5,4,2,1.22,1.83,3.44,2,2,6,1,6,0,3.19,4.06,7.54
7,LaCrO3,6.15,7.15,0.00143,215.0,83.0,5.3,180,122,63,1.95,1.4,0.6,538.1,652.9,1313.9,3,6,6,57,24,8,6,4,2,1.1,1.66,3.44,2,1,6,1,5,0,3.1,3.72,7.54
8,PrCrO3,6.77,7.15,0.00143,216.0,83.0,5.3,176,122,63,1.85,1.4,0.6,527.0,652.9,1313.9,3,6,6,59,24,8,6,4,2,1.13,1.66,3.44,2,1,6,0,5,0,3.1,3.72,7.54
9,NdCrO3,7.01,7.15,0.00143,208.0,83.0,5.3,174,122,63,1.85,1.4,0.6,533.1,652.9,1313.9,3,6,6,60,24,8,6,4,2,1.14,1.66,3.44,2,1,6,0,5,0,3.1,3.72,7.54
