,A_atomic_hfomo,A_atomic_hpomo,A_atomic_lfumo,A_atomic_lpumo,A_atomic_ea,A_atomic_ip,A_atomic_ea_by_half_charged_homo,A_atomic_ip_by_half_charged_homo,A_atomic_r_s_neg_1,A_atomic_r_p_neg_1,A_atomic_r_val_neg_1,A_atomic_r_s_neg_05,A_atomic_r_p_neg_05,A_atomic_r_d_neg_05,A_atomic_r_val_neg_05,A_atomic_r_s,A_atomic_r_p,A_atomic_r_d,A_atomic_r_val,A_atomic_r_s_05,A_atomic_r_p_05,A_atomic_r_d_05,A_atomic_r_val_05,A_atomic_r_s_1,A_atomic_r_p_1,A_atomic_r_d_1,A_atomic_r_val_1,A_X,A_atomic_ie_1,A_atomic_ie_2,A_atomic_ndunf,A_atomic_ndval,A_atomic_nfunf,A_atomic_nfval,A_atomic_npunf,A_atomic_npval,A_atomic_nsunf,A_atomic_nsval,A_atomic_nunf,A_atomic_nval,A_atomic_phi,A_atomic_pol,B_atomic_hfomo,B_atomic_hpomo,B_atomic_lfumo,B_atomic_lpumo,B_atomic_ea,B_atomic_ip,B_atomic_ea_by_half_charged_homo,B_atomic_ip_by_half_charged_homo,B_atomic_r_s_neg_1,B_atomic_r_p_neg_1,B_atomic_r_val_neg_1,B_atomic_r_s_neg_05,B_atomic_r_p_neg_05,B_atomic_r_d_neg_05,B_atomic_r_val_neg_05,B_atomic_r_s,B_atomic_r_p,B_atomic_r_d,B_atomic_r_val,B_atomic_r_s_05,B_atomic_r_p_05,B_atomic_r_d_05,B_atomic_r_val_05,B_atomic_r_s_1,B_atomic_r_p_1,B_atomic_r_d_1,B_atomic_r_val_1,B_X,B_atomic_ie_1,B_atomic_ie_2,B_atomic_ndunf,B_atomic_ndval,B_atomic_nfunf,B_atomic_nfval,B_atomic_npunf,B_atomic_npval,B_atomic_nsunf,B_atomic_nsval,B_atomic_nunf,B_atomic_nval,B_atomic_phi,B_atomic_pol,X_atomic_hfomo,X_atomic_hpomo,X_atomic_lfumo,X_atomic_lpumo,X_atomic_ea,X_atomic_ip,X_atomic_ea_by_half_charged_homo,X_atomic_ip_by_half_charged_homo,X_atomic_r_s_neg_1,X_atomic_r_val_neg_1,X_atomic_r_s_neg_05,X_atomic_r_p_neg_05,X_atomic_r_s,X_atomic_r_p,X_atomic_r_val,X_atomic_r_s_05,X_atomic_r_p_05,X_atomic_r_val_05,X_atomic_r_s_1,X_atomic_r_p_1,X_atomic_r_val_1,X_X,X_atomic_ie_1,X_atomic_ie_2,X_atomic_npunf,X_atomic_npval,X_atomic_nsval,X_atomic_nunf,X_atomic_nval,X_atomic_pol
0,-3.5049799711231997,-1.7897699852544575,-1.7897699852544575,-1.7897699852544575,-7.811453735643074,-3.6415778699538333,2.026719983302276,6.161479949236849,2.14415,0.0,1.5047500000000005,2.06635,0.0,0.0,0.0,1.96135,0.0,0.0,0.32505,1.87085,0.0,0.0,0.32435,1.84425,0.0,0.0,1.84425,1.17,5.6437,11.07,0.0,0.0,8.0,6.0,0.0,0.0,0.0,2.0,8.0,8.0,3.2,28.8,-4.787509960556702,-4.787509960556702,-4.710739961189194,-4.787509960556702,-3.3866528720938436,7.192547130741292,-0.7138799941184913,7.198049940696766,1.63675,0.43015,0.45805,1.49385,0.0,0.44305,0.44305,1.4243500000000002,0.0,0.44005,0.44005,1.41305,0.0,0.44165,1.41305,1.38295,0.0,0.44335,0.44335,1.66,6.76651,16.4857,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,4.65,11.6,-9.787249919364886,-9.787269919364718,3.47662997135677,-9.787269919364718,-3.8144050045737417,16.99279956799987,-3.6680599697796166,16.856479861122974,0.46605,0.44915,0.46375,0.44515,0.46035,0.43705,0.43705,0.45585,0.42595,0.42595,0.45095,0.41375,0.41365,3.44,13.61805,35.1211,2.0,4.0,2.0,2.0,6.0,0.802
1,-4.3866899638589745,-2.259629981383379,-2.259629981383379,-2.259629981383379,1.578749956992198,6.198956138927367,1.6861299861083259,7.085359941625193,1.84895,0.64805,0.64805,1.75605,0.0,0.61495,0.61495,1.64915,0.0,0.59045,0.59045,1.54235,0.0,0.57315,0.57315,0.0,0.0,0.5720500000000001,0.93655,1.36,6.56149,12.79977,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,3.0,3.25,17.8,-3.2662999730896343,-3.2663099730895517,-3.19968997363842,-3.2663099730895517,-0.8864388526950845,7.496390708240698,-0.9858299918779518,7.265179940143695,1.44575,0.35905,0.35905,1.4023500000000002,0.0,0.36045,0.36045,1.38935,0.0,0.36365,0.36355,1.3252500000000005,0.0,0.36455,0.36465,1.2294500000000002,0.0,0.36265,0.36265,1.88,7.88101,17.084,3.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,9.0,5.1,7.5,-9.787249919364886,-9.787269919364718,3.47662997135677,-9.787269919364718,-3.8144050045737417,16.99279956799987,-3.6680599697796166,16.856479861122974,0.46605,0.44915,0.46375,0.44515,0.46035,0.43705,0.43705,0.45585,0.42595,0.42595,0.45095,0.41375,0.41365,3.44,13.61805,35.1211,2.0,4.0,2.0,2.0,6.0,0.802
2,-2.0199699833578877,-2.0199699833578877,-0.4701099961268615,-0.4701099961268615,0.8464991929314734,4.172045865545114,2.6839699778873296,6.535999946151256,1.94775,1.3759500000000002,1.3759500000000002,1.94245,0.0,1.3581500000000002,1.3581500000000002,1.89495,0.0,1.22145,0.30575,1.82175,0.0,1.0982500000000002,1.82625,1.82645,0.0,1.09915,1.82645,1.2,6.1498,12.09,9.0,1.0,7.0,7.0,0.0,0.0,0.0,2.0,16.0,10.0,3.2,23.5,-4.787509960556702,-4.787509960556702,-4.710739961189194,-4.787509960556702,-3.3866528720938436,7.192547130741292,-0.7138799941184913,7.198049940696766,1.63675,0.43015,0.45805,1.49385,0.0,0.44305,0.44305,1.4243500000000002,0.0,0.44005,0.44005,1.41305,0.0,0.44165,1.41305,1.38295,0.0,0.44335,0.44335,1.66,6.76651,16.4857,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,4.65,11.6,-9.787249919364886,-9.787269919364718,3.47662997135677,-9.787269919364718,-3.8144050045737417,16.99279956799987,-3.6680599697796166,16.856479861122974,0.46605,0.44915,0.46375,0.44515,0.46035,0.43705,0.43705,0.45585,0.42595,0.42595,0.45095,0.41375,0.41365,3.44,13.61805,35.1211,2.0,4.0,2.0,2.0,6.0,0.802
3,-4.194639965441234,-1.7865499852809865,-1.7865499852809865,-1.7865499852809865,1.4214937782972672,5.508482824605309,1.4791099878139202,5.399529955514396,1.97365,1.1042500000000002,1.1042500000000002,1.88415,0.0,1.01995,1.01995,1.7914500000000002,0.0,0.96545,0.96545,1.7049500000000002,0.0,0.92735,0.92735,1.6318500000000002,0.0,0.9004500000000001,1.6318500000000002,1.22,6.2173,12.224,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,3.0,3.2,22.7,-4.787509960556702,-4.787509960556702,-4.710739961189194,-4.787509960556702,-3.3866528720938436,7.192547130741292,-0.7138799941184913,7.198049940696766,1.63675,0.43015,0.45805,1.49385,0.0,0.44305,0.44305,1.4243500000000002,0.0,0.44005,0.44005,1.41305,0.0,0.44165,1.41305,1.38295,0.0,0.44335,0.44335,1.66,6.76651,16.4857,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,4.65,11.6,-9.787249919364886,-9.787269919364718,3.47662997135677,-9.787269919364718,-3.8144050045737417,16.99279956799987,-3.6680599697796166,16.856479861122974,0.46605,0.44915,0.46375,0.44515,0.46035,0.43705,0.43705,0.45585,0.42595,0.42595,0.45095,0.41375,0.41365,3.44,13.61805,35.1211,2.0,4.0,2.0,2.0,6.0,0.802
4,-3.5912099704127676,-2.3475399806591066,-2.3475399806591066,-2.3475399806591066,0.7574954937130738,5.5407759543410435,0.79851999342116,5.6713799532746805,2.21125,1.3138500000000002,1.3138500000000002,2.12385,0.0,1.2475500000000002,1.2475500000000002,2.03245,0.0,1.19775,1.19775,1.94515,0.0,1.15925,1.15925,0.0,0.0,1.1316500000000005,0.65825,1.1,5.5769,11.059,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,3.0,3.17,31.1,-3.8226399685060652,-3.8226599685058997,-3.7634999689933077,-3.8226599685058997,-1.0133630316558337,7.161906671003653,-1.3957399885007886,6.599079945631553,1.4903500000000005,0.38335,0.38335,1.4145500000000002,0.0,0.38375,0.38375,1.39735,0.0,0.38725,0.38735,1.37095,0.0,0.39065,0.39065,1.2774500000000002,0.0,0.38895,0.38895,1.83,7.9024,16.1877,4.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,4.93,8.4,-9.787249919364886,-9.787269919364718,3.47662997135677,-9.787269919364718,-3.8144050045737417,16.99279956799987,-3.6680599697796166,16.856479861122974,0.46605,0.44915,0.46375,0.44515,0.46035,0.43705,0.43705,0.45585,0.42595,0.42595,0.45095,0.41375,0.41365,3.44,13.61805,35.1211,2.0,4.0,2.0,2.0,6.0,0.802
5,-3.5049799711231997,-1.7897699852544575,-1.7897699852544575,-1.7897699852544575,-7.811453735643074,-3.6415778699538333,2.026719983302276,6.161479949236849,2.14415,0.0,1.5047500000000005,2.06635,0.0,0.0,0.0,1.96135,0.0,0.0,0.32505,1.87085,0.0,0.0,0.32435,1.84425,0.0,0.0,1.84425,1.17,5.6437,11.07,0.0,0.0,8.0,6.0,0.0,0.0,0.0,2.0,8.0,8.0,3.2,28.8,-3.2662999730896343,-3.2663099730895517,-3.19968997363842,-3.2663099730895517,-0.8864388526950845,7.496390708240698,-0.9858299918779518,7.265179940143695,1.44575,0.35905,0.35905,1.4023500000000002,0.0,0.36045,0.36045,1.38935,0.0,0.36365,0.36355,1.3252500000000005,0.0,0.36455,0.36465,1.2294500000000002,0.0,0.36265,0.36265,1.88,7.88101,17.084,3.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,9.0,5.1,7.5,-9.787249919364886,-9.787269919364718,3.47662997135677,-9.787269919364718,-3.8144050045737417,16.99279956799987,-3.6680599697796166,16.856479861122974,0.46605,0.44915,0.46375,0.44515,0.46035,0.43705,0.43705,0.45585,0.42595,0.42595,0.45095,0.41375,0.41365,3.44,13.61805,35.1211,2.0,4.0,2.0,2.0,6.0,0.802
6,-4.194639965441234,-1.7865499852809865,-1.7865499852809865,-1.7865499852809865,1.4214937782972672,5.508482824605309,1.4791099878139202,5.399529955514396,1.97365,1.1042500000000002,1.1042500000000002,1.88415,0.0,1.01995,1.01995,1.7914500000000002,0.0,0.96545,0.96545,1.7049500000000002,0.0,0.92735,0.92735,1.6318500000000002,0.0,0.9004500000000001,1.6318500000000002,1.22,6.2173,12.224,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,3.0,3.2,22.7,-3.8226399685060652,-3.8226599685058997,-3.7634999689933077,-3.8226599685058997,-1.0133630316558337,7.161906671003653,-1.3957399885007886,6.599079945631553,1.4903500000000005,0.38335,0.38335,1.4145500000000002,0.0,0.38375,0.38375,1.39735,0.0,0.38725,0.38735,1.37095,0.0,0.39065,0.39065,1.2774500000000002,0.0,0.38895,0.38895,1.83,7.9024,16.1877,4.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,4.93,8.4,-9.787249919364886,-9.787269919364718,3.47662997135677,-9.787269919364718,-3.8144050045737417,16.99279956799987,-3.6680599697796166,16.856479861122974,0.46605,0.44915,0.46375,0.44515,0.46035,0.43705,0.43705,0.45585,0.42595,0.42595,0.45095,0.41375,0.41365,3.44,13.61805,35.1211,2.0,4.0,2.0,2.0,6.0,0.802
7,-3.5912099704127676,-2.3475399806591066,-2.3475399806591066,-2.3475399806591066,0.7574954937130738,5.5407759543410435,0.79851999342116,5.6713799532746805,2.21125,1.3138500000000002,1.3138500000000002,2.12385,0.0,1.2475500000000002,1.2475500000000002,2.03245,0.0,1.19775,1.19775,1.94515,0.0,1.15925,1.15925,0.0,0.0,1.1316500000000005,0.65825,1.1,5.5769,11.059,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,3.0,3.17,31.1,-4.787509960556702,-4.787509960556702,-4.710739961189194,-4.787509960556702,-3.3866528720938436,7.192547130741292,-0.7138799941184913,7.198049940696766,1.63675,0.43015,0.45805,1.49385,0.0,0.44305,0.44305,1.4243500000000002,0.0,0.44005,0.44005,1.41305,0.0,0.44165,1.41305,1.38295,0.0,0.44335,0.44335,1.66,6.76651,16.4857,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,4.65,11.6,-9.787249919364886,-9.787269919364718,3.47662997135677,-9.787269919364718,-3.8144050045737417,16.99279956799987,-3.6680599697796166,16.856479861122974,0.46605,0.44915,0.46375,0.44515,0.46035,0.43705,0.43705,0.45585,0.42595,0.42595,0.45095,0.41375,0.41365,3.44,13.61805,35.1211,2.0,4.0,2.0,2.0,6.0,0.802
8,-3.5528299707289728,-1.8572899846981745,-1.8572899846981745,-1.8572899846981745,-2.6647847780856324,2.129404682427247,0.600049995056313,6.411329947178387,2.09365,0.0,0.34455,2.11915,0.0,0.0,0.0,1.99985,0.0,0.0,0.36415,1.90725,0.0,0.0,0.36675,1.88875,0.0,0.0,1.88875,1.13,5.473,10.55,0.0,0.0,11.0,3.0,0.0,0.0,0.0,2.0,11.0,5.0,3.19,28.2,-4.787509960556702,-4.787509960556702,-4.710739961189194,-4.787509960556702,-3.3866528720938436,7.192547130741292,-0.7138799941184913,7.198049940696766,1.63675,0.43015,0.45805,1.49385,0.0,0.44305,0.44305,1.4243500000000002,0.0,0.44005,0.44005,1.41305,0.0,0.44165,1.41305,1.38295,0.0,0.44335,0.44335,1.66,6.76651,16.4857,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,4.65,11.6,-9.787249919364886,-9.787269919364718,3.47662997135677,-9.787269919364718,-3.8144050045737417,16.99279956799987,-3.6680599697796166,16.856479861122974,0.46605,0.44915,0.46375,0.44515,0.46035,0.43705,0.43705,0.45585,0.42595,0.42595,0.45095,0.41375,0.41365,3.44,13.61805,35.1211,2.0,4.0,2.0,2.0,6.0,0.802
9,-2.781479977083966,-2.781479977083966,-1.0723199911653787,-1.0723199911653787,2.903782976091173,6.083155549909696,1.8723199845743452,6.376199947467815,2.11275,0.0,1.31275,2.09185,0.0,0.0,0.0,2.02515,0.0,0.0,0.34785,1.9116500000000003,0.0,0.0,0.34915,1.92685,0.0,0.0,1.92685,1.14,5.525,10.72,0.0,0.0,10.0,4.0,0.0,0.0,0.0,2.0,10.0,6.0,3.19,31.4,-4.787509960556702,-4.787509960556702,-4.710739961189194,-4.787509960556702,-3.3866528720938436,7.192547130741292,-0.7138799941184913,7.198049940696766,1.63675,0.43015,0.45805,1.49385,0.0,0.44305,0.44305,1.4243500000000002,0.0,0.44005,0.44005,1.41305,0.0,0.44165,1.41305,1.38295,0.0,0.44335,0.44335,1.66,6.76651,16.4857,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,4.65,11.6,-9.787249919364886,-9.787269919364718,3.47662997135677,-9.787269919364718,-3.8144050045737417,16.99279956799987,-3.6680599697796166,16.856479861122974,0.46605,0.44915,0.46375,0.44515,0.46035,0.43705,0.43705,0.45585,0.42595,0.42595,0.45095,0.41375,0.41365,3.44,13.61805,35.1211,2.0,4.0,2.0,2.0,6.0,0.802
